epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1437,1.39946,3.77739,1.25077,0.01496,0.47774,0.06136,0.04402,1.07089,3.58589,1.06729,3.75e-05,3.75e-05,3.75e-05
2,27.1493,1.27792,3.63054,1.24551,0.02272,0.61016,0.14663,0.10671,1.09869,3.57417,1.03662,8.57675e-05,8.57675e-05,8.57675e-05
3,37.6512,1.14431,3.39641,1.09667,0.02384,0.62881,0.2172,0.16858,1.01565,3.54239,0.98773,0.000132055,0.000132055,0.000132055
4,48.6892,1.17436,3.16809,1.12774,0.02446,0.65055,0.26537,0.20634,0.88875,3.50537,0.94009,0.000176362,0.000176362,0.000176362
5,59.6158,1.15442,2.76863,1.05999,0.02439,0.65769,0.27631,0.19934,0.85988,3.42497,0.92038,0.00021869,0.00021869,0.00021869
6,69.7961,1.11343,2.15505,1.02185,0.02569,0.67602,0.29782,0.22528,0.87032,3.33752,0.91279,0.000259038,0.000259038,0.000259038
7,80.972,1.06917,2.12518,1.05942,0.97077,0.08241,0.41529,0.31405,0.91691,3.06214,0.92233,0.000297405,0.000297405,0.000297405
8,92.8959,0.97148,1.7701,1.0031,0.91522,0.21746,0.50995,0.3671,0.95009,2.88785,0.95729,0.000333792,0.000333792,0.000333792
9,104.532,1.08063,1.46149,1.06778,0.79307,0.26831,0.54355,0.39183,1.00809,2.67686,1.0188,0.0003682,0.0003682,0.0003682
10,116.328,0.97693,1.31674,1.02062,0.85677,0.39018,0.55713,0.41092,1.02864,2.37595,1.05001,0.000400628,0.000400628,0.000400628
11,128.991,0.97388,1.43892,0.99971,0.92757,0.46389,0.59867,0.45691,1.00821,2.10661,1.00848,0.000431075,0.000431075,0.000431075
12,141.322,0.98368,1.17612,0.98587,0.83555,0.51551,0.60124,0.47297,0.9587,1.9227,0.95087,0.000459543,0.000459543,0.000459543
13,152.94,0.92819,1.23453,1.01101,0.91544,0.48766,0.6261,0.49578,0.94417,1.83961,0.93269,0.00048603,0.00048603,0.00048603
14,166.291,1.0024,1.188,0.99861,0.87054,0.5211,0.65996,0.54638,0.88853,1.76563,0.92837,0.000510537,0.000510537,0.000510537
15,178.291,1.01283,1.14949,0.9902,0.96613,0.46496,0.81984,0.63817,0.88994,1.76341,0.94959,0.000533065,0.000533065,0.000533065
16,190.19,0.92553,1.14076,0.96594,0.96613,0.46496,0.81984,0.63817,0.88994,1.76341,0.94959,0.000553613,0.000553613,0.000553613
17,202.568,0.93256,1.16497,0.98989,0.72366,0.68579,0.82977,0.63656,0.83253,1.68068,0.92839,0.00057218,0.00057218,0.00057218
18,215.548,0.92039,1.05185,0.95331,0.68009,0.71008,0.81315,0.63585,0.81395,1.50604,0.90598,0.000588767,0.000588767,0.000588767
19,227.836,0.83071,1.00165,0.93942,0.68009,0.71008,0.81315,0.63585,0.81395,1.50604,0.90598,0.000603375,0.000603375,0.000603375
20,239.073,0.89336,1.00087,0.94663,0.64284,0.70839,0.82256,0.61364,0.89293,1.28356,0.91124,0.000616003,0.000616003,0.000616003
21,250.686,0.90549,1.01433,0.95286,0.92647,0.63993,0.80731,0.60639,0.88198,1.12711,0.92007,0.00062665,0.00062665,0.00062665
22,262.021,0.86944,0.93336,0.91257,0.92647,0.63993,0.80731,0.60639,0.88198,1.12711,0.92007,0.000635318,0.000635318,0.000635318
23,273.5,0.84523,0.99456,0.9196,0.94215,0.64809,0.82021,0.64753,0.8049,1.03268,0.92448,0.000642005,0.000642005,0.000642005
24,284.529,0.87958,0.92828,0.93827,0.94215,0.64809,0.82021,0.64753,0.8049,1.03268,0.92448,0.000646713,0.000646713,0.000646713
25,296.104,0.91719,0.9218,0.92394,0.72288,0.81003,0.85415,0.6674,0.80572,1.01016,0.92199,0.00064944,0.00064944,0.00064944
26,307.224,0.88043,0.98501,0.92535,0.72288,0.81003,0.85415,0.6674,0.80572,1.01016,0.92199,0.00063125,0.00063125,0.00063125
27,318.417,0.83439,0.9357,0.92841,0.77111,0.85573,0.87913,0.68592,0.79172,0.9779,0.91134,0.0006065,0.0006065,0.0006065
28,329.573,0.80022,0.92607,0.92475,0.77111,0.85573,0.87913,0.68592,0.79172,0.9779,0.91134,0.00058175,0.00058175,0.00058175
29,340.487,0.59415,9.16594,0.68953,0.81542,0.87949,0.89296,0.70985,0.76686,0.93734,0.90359,0.000557,0.000557,0.000557
30,351.55,0.81167,1.16263,0.89586,0.81542,0.87949,0.89296,0.70985,0.76686,0.93734,0.90359,0.00053225,0.00053225,0.00053225
31,362.963,0.83045,0.89416,0.92928,0.84542,0.89242,0.89949,0.71693,0.84701,0.95601,0.9239,0.0005075,0.0005075,0.0005075
32,374.193,0.81304,1.05111,0.92188,0.84542,0.89242,0.89949,0.71693,0.84701,0.95601,0.9239,0.00048275,0.00048275,0.00048275
33,385.318,0.81429,0.86457,0.89844,0.8618,0.87913,0.91576,0.74128,0.80736,0.94113,0.91646,0.000458,0.000458,0.000458
34,395.628,0.86904,0.90761,0.92051,0.8618,0.87913,0.91576,0.74128,0.80736,0.94113,0.91646,0.00043325,0.00043325,0.00043325
35,405.987,0.80141,0.87406,0.92503,0.90013,0.84983,0.9279,0.76866,0.71879,0.91711,0.90099,0.0004085,0.0004085,0.0004085
36,416.275,0.73483,0.84067,0.88476,0.90013,0.84983,0.9279,0.76866,0.71879,0.91711,0.90099,0.00038375,0.00038375,0.00038375
37,426.553,0.91683,0.97276,0.92326,0.85571,0.88079,0.93403,0.80161,0.679,0.89278,0.88901,0.000359,0.000359,0.000359
38,436.864,0.79426,0.95133,0.94595,0.85571,0.88079,0.93403,0.80161,0.679,0.89278,0.88901,0.00033425,0.00033425,0.00033425
